---
source_url: https://www.youtube.com/watch?v=Or-gZxDhTS0
source_kind: youtube-transcript
ingested: 2026-07-13
sha256: 73fababa407f363d98a2d358d0150173ae7a4098442903663de4f4d8556274da
model: faster-whisper / Systran-faster-whisper-tiny / int8
language: zh
duration_seconds: 2929.992000
quality: medium
---

[原始檔案位置: ~/ob_repos/yt-podcast-pipeline/transcripts/Or-gZxDhTS0_fw.txt]

注意:
- 來源: 「理財達人秀 EBCmoneyshow」頻道
- 標題: 【理財達人秀】台股拉尾 籌碼延長賽？塑化.軍工低價回後買？...
- 主持人+來賓: 李兆華、朱家泓、王建文、楊雲翔
- 上傳: 2026-07-08, 觀看次數 129,936
- 微型頻道共體,本次 ingest 是「回補 7/8 內容」

tiny 模型的字詞可能誤讀,以 medium confidence 標記。
[006.03 -> 009.07] 歡迎收看這佛新UMO的財經節目
[009.07 -> 011.83] 李財達人秀我是李造華
[011.83 -> 013.83] 有不少投資朋友都說
[013.83 -> 017.87] 每天早上先看誰先看韓古開盤
[017.87 -> 021.07] 第一次這麼希望韓國的股民可以賺錢
[021.07 -> 022.47] 因為他們的股票一跌
[022.47 -> 025.55] 我們的開盤也跟著被拖下去
[025.55 -> 027.27] 因為現在AI的鬼故事
[027.27 -> 028.99] 相當的多兒記憶體
[028.99 -> 031.11] 眼欄又成為了一個重災區
[031.11 -> 034.39] 即使昨天三星開除了非常厲害的第二季彩暴
[034.39 -> 036.59] 但是三星還是在跌
[036.59 -> 038.11] 韓國人都在嘲說
[038.11 -> 040.63] 不應該發行三倍更感的
[040.63 -> 042.75] 三星和海利市的一體衛福
[042.75 -> 044.43] 上的時候人人是股生
[044.43 -> 046.39] 跌的時候人人都在抱怨
[046.39 -> 049.23] 而臺股也限錄了一個第一量的盤
[049.23 -> 053.39] 今天的大盤成交量是不到一趟元的
[053.39 -> 055.63] 我們大概整整一兩個禮拜
[055.63 -> 057.59] 都在比較低量的狀況
[057.59 -> 059.59] 尤其是熱門股一回黨
[059.59 -> 060.75] 這個回黨的幅度
[060.75 -> 063.75] 就相當的生日直接燒到跌停板
[063.75 -> 067.47] 讓股明這段時間的信心有點慢慢被膜順
[067.47 -> 068.79] 有不少人都說
[068.79 -> 070.71] 直到跌下來是好股票
[070.71 -> 073.19] 以前加馬美多久就逼上去
[073.19 -> 076.67] 現在加到手上已經沒有錢了
[076.67 -> 078.75] 還不趕快談起來
[078.75 -> 080.47] 到底發生什麼問題
