---
source_url: https://www.youtube.com/watch?v=V_jJvPjytSg
source_kind: youtube-transcript
ingested: 2026-07-13
sha256: ff336dc2c0d83d475fa0ca07f86ad406d3ca701588bcac35db9ab13576527d6f
model: faster-whisper / Systran-faster-whisper-tiny / int8
language: zh
duration_seconds: 2928.936000
quality: medium
---

[原始檔案位置: ~/ob_repos/yt-podcast-pipeline/transcripts/V_jJvPjytSg_fw.txt]

注意:
- 來源: 「理財達人秀 EBCmoneyshow」頻道
- 標題: 【兆華艾綸說】記憶體、載版利空，真假破解！殺下來的股票，封測最保險？聯發科.創意，Google概念股最夯？｜李兆華、艾綸、張捷2026.07.07【網路獨播版】
- 主持人+來賓: 李兆華、艾綸、張捷
- 上傳: 2026-07-07
- 本次 ingest 是「回補 7/7 內容」

tiny 模型的字詞可能誤讀,以 medium confidence 標記。
[000.05 -> 010.69] 歡迎收看召華
[010.69 -> 011.69] 我是召華
[011.69 -> 012.69] 我是阿倫
[012.69 -> 013.69] 請問你現在是笑不出來
[013.69 -> 014.69] 還是哭不出來
[014.69 -> 016.69] 現在是讓自己壓有一個笑
[016.69 -> 017.69] 沒錯
[017.69 -> 018.69] 假笑嗎
[018.69 -> 019.69] 那有一點點
[019.69 -> 021.69] 很輕鬧
[021.69 -> 022.69] 就是現在的盤
[022.69 -> 024.69] 其實今天收盤來說
[024.69 -> 025.69] 還是在4.5000.0
[025.69 -> 026.69] 其實還是很高
[026.69 -> 028.69] 並沒有說是非常低位劫
[028.69 -> 031.69] 可是為什麼提感溫度會這麼的冷
[031.69 -> 033.69] 因為這個今天的
[033.69 -> 035.69] 開高走低1500.0
[035.69 -> 038.69] 有許多非常強勢的族群
[038.69 -> 040.69] 加入了下跌的戰局
[040.69 -> 041.69] 是
[041.69 -> 043.69] 像是被動元件國具的鐵艇
[043.69 -> 044.69] 公立元件也來了
[044.69 -> 045.69] 10元件也來了
[045.69 -> 046.69] 然後跟之前
[046.69 -> 048.69] 一些比較強勢的譬如說
[048.69 -> 049.69] PZB上個禮拜
[049.69 -> 050.69] 好不容易反彈一下
[050.69 -> 051.69] 對
[051.69 -> 052.69] 今天昨天也都加入戰局
[052.69 -> 054.69] 所以感受度就特別的明顯
[054.69 -> 055.69] 好
[055.69 -> 057.69] 就等於排面上比較熱門的族群
[057.69 -> 058.69] 今天的大哥們
[058.69 -> 060.69] 幾乎對我帶頭
[060.69 -> 061.69] 跌停的狀況
[061.69 -> 063.69] 像細菁源也有彈球金
[063.69 -> 064.69] 對
[064.69 -> 065.69] 好
[065.69 -> 066.69] 然後這個阻礙跟不用說了
[066.69 -> 068.69] 短短34個交易日
[068.69 -> 070.69] 已經跌了兩成以上
[070.69 -> 072.69] 到底發生什麼事呢
[072.69 -> 074.69] 為什麼最近AID的軌跡
[074.69 -> 075.69] 是特別多
[075.69 -> 076.69] 沒有錯
[076.69 -> 079.69] 最近都是源自與同一家分析公司
[079.69 -> 081.69] 叫做CME in the Lies
[081.69 -> 083.69] 我們大概幫他全面解析一下
[083.69 -> 084.69] 同6月以來
[084.69 -> 085.69] 到底講了哪一些東西
[085.69 -> 087.69] 到底為什麼他講話
[087.69 -> 088.69] 這麼有份量
[088.69 -> 089.69] 我們講話難道沒有嗎
[089.69 -> 091.69] 他以為是
[091.69 -> 092.69] 其實我覺得很像是
[092.69 -> 093.69] 不是
[094.69 -> 095.69] 奇怪
[095.69 -> 096.69] 好 我們來看一下
[096.69 -> 097.69] 有些立空
[097.69 -> 100.69] 其實是一直平船出軌跡
[100.69 -> 102.69] 那我們就來看一下
[102.69 -> 104.69] 到底後面應該怎麼去做解讀
[104.69 -> 107.69] 今天五大重點跌千點
[107.69 -> 108.69] 就是
[108.69 -> 109.69] 其實高點跌下來
[109.69 -> 110.69] 1500點
[110.69 -> 112.69] 那破了月線
[112.69 -> 113.69] 有人稱馬問號
[113.69 -> 114.69] 那再來
[114.69 -> 115.69] 包含口的空單
[115.69 -> 116.69] 還是在
[116.69 -> 117.69] 對
[117.69 -> 118.69] 就即便今天跌
[118.69 -> 120.69] 還是包含口的空單
[120.69 -> 121.69] 所以目前看起來
[121.69 -> 123.69] 還是比較可能也
[123.69 -> 124.69] 套力跟這個
[124.69 -> 125.69] 幣顯應該都有
[125.69 -> 126.69] 那在第二個
[126.69 -> 127.69] 就是回答
[127.69 -> 128.69] 澄清我們剛剛提到
[128.69 -> 129.69] 那間公司的這個
[129.69 -> 130.69] PCB規固式
[130.69 -> 132.69] 而且它是數度非常快
[132.69 -> 133.69] 就是沒有
[133.69 -> 134.69] 沒有機會以後
[134.69 -> 135.69] 沒有
[135.69 -> 136.69] 那CCE有跟宅版
[136.69 -> 137.69] 難得出現特價
[137.69 -> 138.69] 要把握
[138.69 -> 139.69] 再來就第三個
[139.69 -> 140.69] 三星才包
[140.69 -> 142.69] 我今天早上看
[142.69 -> 143.69] 我想說
[143.69 -> 144.69] 講得很好
[144.69 -> 145.69] 它也是個不解之名
[145.69 -> 146.69] 對
[146.69 -> 147.69] 可是韓古
[147.69 -> 148.69] 盤中今天又容短
[148.69 -> 150.69] 所以大標題是
[150.69 -> 151.69] 韓古真的得比較重
[151.69 -> 153.69] 韓古的七爬多
[153.69 -> 154.69] 但會有拉
[154.69 -> 155.69] 盤中有得七爬多
[155.69 -> 156.69] 那有記憶體的要注意
[156.69 -> 157.69] 幾個早上記憶體
[157.69 -> 158.69] 還偏強一點點
[158.69 -> 159.69] 我們的記憶體
[159.69 -> 160.69] 反而一開始還沒第一天
[160.69 -> 161.69] 所以剛一開始
[161.69 -> 162.69] 所以剛一開始
[162.69 -> 163.69] 第三天第二天
[163.69 -> 165.69] 這個獲利年真十九
[165.69 -> 166.69] 沒錯
[166.69 -> 167.69] 對
[167.69 -> 168.69] 這個為什麼去造成
[168.69 -> 169.69] 疊而且韓國官員
