---
source_url: https://www.youtube.com/watch?v=kMQpMKFxXkM
source_kind: youtube-transcript
ingested: 2026-07-13
sha256: 486e09adfa58d0a51770b74a6a7b945fe159881e71f104d5744b6bca7134459a
model: faster-whisper / Systran-faster-whisper-tiny / int8
language: zh
duration_seconds: 2918.784000
quality: medium
---

[原始檔案位置: ~/ob_repos/yt-podcast-pipeline/transcripts/kMQpMKFxXkM_fw.txt]

注意:
- 來源: 「理財達人秀 EBCmoneyshow」頻道
- 標題: 【理財達人秀】台股開高殺低真沒事？載板越綠越要買？被動.矽晶圓跌停能買?三星重摔記憶體支撐價？聯發科震後鎖誰?｜李兆華、蔡明翰、紀緯明、高憲容2026.07.07【電視完整版】
- 主持人+來賓: 李兆華、蔡明翰、紀緯明、高憲容
- 上傳: 2026-07-07
- 本次 ingest 是「回補 7/7 內容」

tiny 模型的字詞可能誤讀,以 medium confidence 標記。
[005.87 -> 008.91] 歡迎收看最佛心優勃的彩經節目
[008.91 -> 011.67] 李柴達人秀我是李造華
[011.67 -> 015.27] 今天提感真的不好呢
[015.27 -> 016.75] 也沒有到大恐慌
[016.75 -> 021.31] 可是很多的熱門股今天越跌越深
[021.31 -> 023.03] 其實開盤是紅刀
[023.03 -> 027.31] 甚至一度往上衝要挑戰回復4萬7千點
[027.31 -> 030.75] 但中場是下跌了超過1000點
[030.75 -> 034.35] 上下的政府有達到1500點之多
[034.35 -> 037.03] 原因可能有很多有前兩天
[037.03 -> 040.67] 講到的演掉機構對於AI的前景靈組件
[040.67 -> 043.23] 機櫃有沒有研後推出發了報告
[043.23 -> 045.51] 不過華人雄有出來承清
[045.51 -> 048.63] 他說NV的機櫃沒有要研後
[048.63 -> 051.27] 再來就是韓股脫類的我們
[051.27 -> 053.75] 越三星公布了第二季的技報
[053.75 -> 054.75] 明明很厲害
[054.75 -> 057.55] 明明爆賺了19倍之多
[057.55 -> 059.15] 可是股價卻沒有跌
[059.15 -> 061.55] 韓股一度甚至跌到榮斷
